i,j,x,y,old,new
0,900,-1.5916249,0.84065545,5,3
0,1343,-2.375058,1.2544447,3,5
0,1344,-2.3768265,1.2553788,3,5
0,1349,-2.3856688,1.260049,5,1
0,1874,-3.3141167,1.7504314,0,5
0,1875,-3.315885,1.7513654,0,5
0,1887,-3.337107,1.7625743,5,3
1,844,-1.4926801,0.790345,0,1
1,845,-1.4944484,0.791279,0,1
1,882,-1.559882,0.8258394,0,5
1,902,-1.5952514,0.84452057,5,3
1,1343,-2.3751473,1.2564417,3,5
1,1880,-3.324817,1.7580328,0,5
1,1881,-3.3265855,1.7589669,0,5
1,1889,-3.340733,1.7664393,5,3
2,891,-1.5758878,0.836243,0,5
2,904,-1.5988779,0.84838575,5,3
2,1342,-2.3734686,1.2575047,3,5
2,1348,-2.3840795,1.263109,5,1
2,1885,-3.333749,1.7647002,0,5
2,1886,-3.3355174,1.7656342,0,5
3,897,-1.5865879,0.8438443,0,5
3,906,-1.6025043,0.8522509,5,3
3,1341,-2.3717897,1.2585677,3,5
3,1889,-3.340912,1.7704334,0,5
3,1890,-3.3426807,1.7713675,0,5
3,1894,-3.3497546,1.7751038,5,3
4,902,-1.5955199,0.85051167,0,5
4,903,-1.5972883,0.85144573,0,5
4,1340,-2.3701108,1.2596306,3,5
4,1893,-3.3480759,1.7761667,0,5
4,1894,-3.3498442,1.7771008,0,5
4,1896,-3.3533812,1.7789689,5,3
5,906,-1.6026833,0.8562449,0,5
5,907,-1.6044518,0.857179,0,5
5,908,-1.6062202,0.85811305,0,5
5,911,-1.6115257,0.86091524,5,3
5,1339,-2.3684316,1.2606936,3,5
5,1347,-2.3825796,1.2681661,5,1
5,1897,-3.3552392,1.7818999,0,5
5,1898,-3.3570077,1.782834,5,3
6,910,-1.6098467,0.8619782,0,5
6,911,-1.6116152,0.8629123,0,5
6,912,-1.6133837,0.86384636,0,5
6,913,-1.6151521,0.8647804,0,3
6,1339,-2.368521,1.2626905,3,5
6,1900,-3.3606339,1.786699,0,3
7,914,-1.61701,0.8677114,0,5
7,915,-1.6187785,0.86864555,0,3
7,916,-1.6205469,0.8695796,0,3
7,1338,-2.3668423,1.2637535,3,5
7,1903,-3.366029,1.7914983,0,3
8,917,-1.6224049,0.8725106,0,3
8,918,-1.6241734,0.8734447,0,3
8,1337,-2.365163,1.2648165,3,5
9,920,-1.6277999,0.87730986,0,3
9,1336,-2.3634841,1.2658795,3,5
9,1346,-2.3811688,1.27522,5,1
10,1335,-2.3618054,1.2669425,3,5
11,1334,-2.3601263,1.2680054,3,5
12,1334,-2.360216,1.2700025,3,5
13,1333,-2.3585367,1.2710654,3,5
14,1332,-2.3568575,1.2721282,3,5
15,1331,-2.3551788,1.2731912,3,5
16,344,-0.60978633,0.35326952,5,3
16,1330,-2.3535,1.2742542,3,5
16,1344,-2.3782585,1.2873311,5,1
17,1329,-2.3518207,1.2753172,3,5
19,357,-0.633045,0.37140337,1,5
20,1327,-2.3485525,1.2794402,3,5
21,1326,-2.3468733,1.280503,3,5
22,1325,-2.3451943,1.281566,3,5
23,1324,-2.3435156,1.282629,3,5
24,1323,-2.3418365,1.2836919,3,5
25,1322,-2.3401575,1.2847549,3,5
25,1342,-2.375527,1.3034362,5,1
28,355,-0.6303135,0.38750842,1,5
29,1319,-2.33521,1.2899408,3,5
30,1318,-2.3335311,1.2910038,3,5
31,1317,-2.3318522,1.2920667,3,5
32,1316,-2.3301733,1.2931297,3,5
33,354,-0.62899256,0.39655948,1,5
33,1315,-2.328494,1.2941926,3,5
34,1314,-2.3268151,1.2952555,3,5
35,1313,-2.3251362,1.2963185,3,5
