i,j,x,y,old,new
357,1969,-3.514072,2.5521033,0,5
358,1965,-3.5070872,2.550364,0,5
358,1966,-3.5088558,2.5512981,0,5
359,1961,-3.5001032,2.5486248,0,5
359,1962,-3.5018716,2.5495586,0,5
360,1958,-3.494887,2.5478196,0,5
361,1954,-3.4879026,2.5460804,0,5
361,1955,-3.4896712,2.5470145,0,5
362,1950,-3.4809184,2.544341,0,4
362,1951,-3.4826868,2.5452752,0,5
363,1947,-3.4757023,2.543536,0,4
364,1944,-3.4704866,2.5427308,0,4
916,1824,-3.3076718,3.532998,5,0
917,1820,-3.3006876,3.5312588,5,0
917,1821,-3.302456,3.532193,5,0
918,1816,-3.293703,3.5295198,5,0
918,1817,-3.2954717,3.5304537,5,0
919,1813,-3.2884872,3.5287144,5,0
920,1809,-3.2815027,3.5269752,5,0
920,1810,-3.283271,3.5279093,5,0
921,1805,-3.2745185,3.5252361,5,0
921,1806,-3.2762868,3.52617,5,0
1261,527,-1.0448399,3.0104916,1,5
1264,520,-1.032729,3.0099444,1,5
1267,513,-1.0206182,3.009397,1,5
1270,506,-1.0085074,3.0088499,1,5
1789,470,-0.99129105,4.0116763,5,1
1792,463,-0.9791802,4.011129,5,1
1795,456,-0.9670694,4.0105815,5,1
1798,449,-0.9549586,4.0100346,5,1
1801,442,-0.9428477,4.009487,5,1
